Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Nedbør (mnd)
Bergen - Florida;SN50540;10.2001;10,8;332,4
Bergen - Florida;SN50540;11.2001;4,8;367,3
Bergen - Florida;SN50540;12.2001;1,1;203
Bergen - Florida;SN50540;01.2002;3,8;288,9
Bergen - Florida;SN50540;02.2002;3,1;266,4
Bergen - Florida;SN50540;03.2002;3,7;188,3
Bergen - Florida;SN50540;04.2002;8,1;107,1
Bergen - Florida;SN50540;05.2002;12,7;102,5
Bergen - Florida;SN50540;06.2002;15,2;203,4
Bergen - Florida;SN50540;07.2002;15,3;223,7
Bergen - Florida;SN50540;08.2002;19,5;165,8
Bergen - Florida;SN50540;09.2002;13,6;160,3
Bergen - Florida;SN50540;10.2002;6,1;174,9
Bergen - Florida;SN50540;11.2002;2,8;118,5
Bergen - Florida;SN50540;12.2002;0,7;59
Bergen - Florida;SN50540;01.2003;2,2;368,8
Bergen - Florida;SN50540;02.2003;2;140
Bergen - Florida;SN50540;03.2003;4,8;95,1
Bergen - Florida;SN50540;04.2003;8,7;82,9
Bergen - Florida;SN50540;05.2003;9,7;196,3
Bergen - Florida;SN50540;06.2003;14,5;208,9
Bergen - Florida;SN50540;07.2003;18,2;175,9
Bergen - Florida;SN50540;08.2003;16;180,9
Bergen - Florida;SN50540;09.2003;12,4;364,5
Bergen - Florida;SN50540;10.2003;5,8;254,4
Bergen - Florida;SN50540;11.2003;6,8;213,5
Bergen - Florida;SN50540;12.2003;3,7;347,5
Bergen - Florida;SN50540;01.2004;1,7;182,1
Bergen - Florida;SN50540;02.2004;2,3;141,2
Bergen - Florida;SN50540;03.2004;4,6;136,7
Bergen - Florida;SN50540;04.2004;8,4;175,8
Bergen - Florida;SN50540;05.2004;10,6;95,4
Bergen - Florida;SN50540;06.2004;12,8;120
Bergen - Florida;SN50540;07.2004;14,5;131,6
Bergen - Florida;SN50540;08.2004;17,4;155,1
Bergen - Florida;SN50540;09.2004;12,2;381
Bergen - Florida;SN50540;10.2004;8,9;151
Bergen - Florida;SN50540;11.2004;4,7;354,6
Bergen - Florida;SN50540;12.2004;4,5;567,6
Bergen - Florida;SN50540;01.2005;3,6;465,6
Bergen - Florida;SN50540;02.2005;2,2;175,6
Bergen - Florida;SN50540;03.2005;3,6;169,2
Bergen - Florida;SN50540;04.2005;7,8;149,8
Bergen - Florida;SN50540;05.2005;9,1;162,7
Bergen - Florida;SN50540;06.2005;12;139,3
Bergen - Florida;SN50540;07.2005;16,3;88,9
Bergen - Florida;SN50540;08.2005;14;224,8
Bergen - Florida;SN50540;09.2005;12,5;450,3
Bergen - Florida;SN50540;10.2005;10,5;255,7
Bergen - Florida;SN50540;11.2005;6,2;558,8
Bergen - Florida;SN50540;12.2005;3;211,1
Bergen - Florida;SN50540;01.2006;2,7;156,6
Bergen - Florida;SN50540;02.2006;3;132,9
Bergen - Florida;SN50540;03.2006;0,7;54,9
Bergen - Florida;SN50540;04.2006;5,8;205,4
Bergen - Florida;SN50540;05.2006;11,3;70,4
Bergen - Florida;SN50540;06.2006;13,4;130,5
Bergen - Florida;SN50540;07.2006;17,6;180,5
Bergen - Florida;SN50540;08.2006;17,5;94,5
Bergen - Florida;SN50540;09.2006;15,4;226,9
Bergen - Florida;SN50540;10.2006;10,5;288,3
Bergen - Florida;SN50540;11.2006;7,3;475,3
Bergen - Florida;SN50540;12.2006;6,6;496,7
Bergen - Florida;SN50540;01.2007;3,5;423,9
Bergen - Florida;SN50540;02.2007;2,2;134,5
Bergen - Florida;SN50540;03.2007;6,2;263,4
Bergen - Florida;SN50540;04.2007;7,8;181,1
Bergen - Florida;SN50540;05.2007;9,7;188
Bergen - Florida;SN50540;06.2007;16;24,2
Bergen - Florida;SN50540;07.2007;14,9;245,9
Bergen - Florida;SN50540;08.2007;14;330,8
Bergen - Florida;SN50540;09.2007;10,3;363,1
Bergen - Florida;SN50540;10.2007;8,8;213,1
Bergen - Florida;SN50540;11.2007;4;373,8
Bergen - Florida;SN50540;12.2007;3,4;276,3
Bergen - Florida;SN50540;01.2008;3,6;329
Bergen - Florida;SN50540;02.2008;4,6;321,8
Bergen - Florida;SN50540;03.2008;3,2;217
Bergen - Florida;SN50540;04.2008;7,5;120,8
Bergen - Florida;SN50540;05.2008;12,3;17,5
Bergen - Florida;SN50540;06.2008;13,7;173
Bergen - Florida;SN50540;07.2008;18;114,4
Bergen - Florida;SN50540;08.2008;15,5;166,4
Bergen - Florida;SN50540;09.2008;12,7;145,3
Bergen - Florida;SN50540;10.2008;8;494,4
Bergen - Florida;SN50540;11.2008;4,5;277,3
Bergen - Florida;SN50540;12.2008;2,9;168,2
Bergen - Florida;SN50540;01.2009;3,3;197,7
Bergen - Florida;SN50540;02.2009;0,8;176,9
Bergen - Florida;SN50540;03.2009;4,7;235,7
Bergen - Florida;SN50540;04.2009;9,5;93,4
Bergen - Florida;SN50540;05.2009;10,8;176
Bergen - Florida;SN50540;06.2009;13,9;45,1
Bergen - Florida;SN50540;07.2009;16,8;146,9
Bergen - Florida;SN50540;08.2009;15,7;200
Bergen - Florida;SN50540;09.2009;12,3;360,8
Bergen - Florida;SN50540;10.2009;7;123,2
Bergen - Florida;SN50540;11.2009;7,1;266,3
Bergen - Florida;SN50540;12.2009;1,3;70,5
Bergen - Florida;SN50540;01.2010;-3,4;37
Bergen - Florida;SN50540;02.2010;-1,5;39
Bergen - Florida;SN50540;03.2010;3,4;204,3
Bergen - Florida;SN50540;04.2010;6,7;176,1
Bergen - Florida;SN50540;05.2010;8,8;56
Bergen - Florida;SN50540;06.2010;12,6;75
Bergen - Florida;SN50540;07.2010;15,6;171,6
Bergen - Florida;SN50540;08.2010;15,4;167,7
Bergen - Florida;SN50540;09.2010;12;241
Bergen - Florida;SN50540;10.2010;8,4;284,5
Bergen - Florida;SN50540;11.2010;1;95,6
Bergen - Florida;SN50540;12.2010;-2,6;76,3
Bergen - Florida;SN50540;01.2011;2,3;236,4
Bergen - Florida;SN50540;02.2011;1,3;169,4
Bergen - Florida;SN50540;03.2011;3,2;219,1
Bergen - Florida;SN50540;04.2011;9,2;148
Bergen - Florida;SN50540;05.2011;10,8;136,4
Bergen - Florida;SN50540;06.2011;13,1;248,1
Bergen - Florida;SN50540;07.2011;15,7;103
Bergen - Florida;SN50540;08.2011;15,1;109,4
Bergen - Florida;SN50540;09.2011;13;359,9
Bergen - Florida;SN50540;10.2011;10,1;303
Bergen - Florida;SN50540;11.2011;8,1;297,4
Bergen - Florida;SN50540;12.2011;3,5;352,4
Bergen - Florida;SN50540;01.2012;2,7;256,8
Bergen - Florida;SN50540;02.2012;2,7;286,2
Bergen - Florida;SN50540;03.2012;6,2;242,4
Bergen - Florida;SN50540;04.2012;5,7;101,7
Bergen - Florida;SN50540;05.2012;10,3;117,5
Bergen - Florida;SN50540;06.2012;12,9;54,8
Bergen - Florida;SN50540;07.2012;14,8;182,7
Bergen - Florida;SN50540;08.2012;15,2;202,7
Bergen - Florida;SN50540;09.2012;10,6;408,5
Bergen - Florida;SN50540;10.2012;7;224,6
Bergen - Florida;SN50540;11.2012;6;393,1
Bergen - Florida;SN50540;12.2012;-0,1;161,6
Bergen - Florida;SN50540;01.2013;0,3;150,4
Bergen - Florida;SN50540;02.2013;0,6;79,3
Bergen - Florida;SN50540;03.2013;0,9;17,9
Bergen - Florida;SN50540;04.2013;5,1;219,5
Bergen - Florida;SN50540;05.2013;11,3;129,7
Bergen - Florida;SN50540;06.2013;13,3;158,9
Bergen - Florida;SN50540;07.2013;15,6;167,6
Bergen - Florida;SN50540;08.2013;15,2;214,7
Bergen - Florida;SN50540;09.2013;12,5;202,1
Bergen - Florida;SN50540;10.2013;9,6;343,1
Bergen - Florida;SN50540;11.2013;5,5;352,7
Bergen - Florida;SN50540;12.2013;5,7;433,6
Bergen - Florida;SN50540;01.2014;3,4;101,2
Bergen - Florida;SN50540;02.2014;5,5;200,2
Bergen - Florida;SN50540;03.2014;6;278,4
Bergen - Florida;SN50540;04.2014;8,9;131,1
Bergen - Florida;SN50540;05.2014;11,4;96,7
Bergen - Florida;SN50540;06.2014;14,5;58,6
Bergen - Florida;SN50540;07.2014;19;162,7
Bergen - Florida;SN50540;08.2014;15,5;206
Bergen - Florida;SN50540;09.2014;13,6;127,9
Bergen - Florida;SN50540;10.2014;10,6;473,1
Bergen - Florida;SN50540;11.2014;7,3;169,3
Bergen - Florida;SN50540;12.2014;3,2;423,4
Bergen - Florida;SN50540;01.2015;3,4;516,1
Bergen - Florida;SN50540;02.2015;3,4;246,4
Bergen - Florida;SN50540;03.2015;5,2;349
Bergen - Florida;SN50540;04.2015;6,2;140,9
Bergen - Florida;SN50540;05.2015;8,6;240,5
Bergen - Florida;SN50540;06.2015;11,4;129,8
Bergen - Florida;SN50540;07.2015;14,4;108,2
Bergen - Florida;SN50540;08.2015;16,5;192,4
Bergen - Florida;SN50540;09.2015;13,5;121,9
Bergen - Florida;SN50540;10.2015;9,6;167,1
Bergen - Florida;SN50540;11.2015;6,8;433,6
Bergen - Florida;SN50540;12.2015;5,8;455,8
Bergen - Florida;SN50540;01.2016;0;172,9
Bergen - Florida;SN50540;02.2016;2,1;268,3
Bergen - Florida;SN50540;03.2016;4,9;115,3
Bergen - Florida;SN50540;04.2016;6,2;104,3
Bergen - Florida;SN50540;05.2016;12,2;87,1
Bergen - Florida;SN50540;06.2016;15,3;83,5
Bergen - Florida;SN50540;07.2016;14,7;263,5
Bergen - Florida;SN50540;08.2016;14,2;368,7
Bergen - Florida;SN50540;09.2016;15,2;262,2
Bergen - Florida;SN50540;10.2016;8,3;93,6
Bergen - Florida;SN50540;11.2016;4;316,5
Bergen - Florida;SN50540;12.2016;6,1;320,4
Bergen - Florida;SN50540;01.2017;3,6;265,9
Bergen - Florida;SN50540;02.2017;3;171,8
Bergen - Florida;SN50540;03.2017;4,7;186,9
Bergen - Florida;SN50540;04.2017;6,2;215,5
Bergen - Florida;SN50540;05.2017;12,2;62,7
Bergen - Florida;SN50540;06.2017;13,4;270,4
Bergen - Florida;SN50540;07.2017;14,9;163
Bergen - Florida;SN50540;08.2017;14,3;344,6
Bergen - Florida;SN50540;09.2017;13,8;138,5
Bergen - Florida;SN50540;10.2017;9,6;403,8
Bergen - Florida;SN50540;11.2017;4,5;369,1
Bergen - Florida;SN50540;12.2017;3,3;499,8
Bergen - Florida;SN50540;01.2018;2,7;217,2
Bergen - Florida;SN50540;02.2018;0,9;141,6
Bergen - Florida;SN50540;03.2018;0,8;61,3
Bergen - Florida;SN50540;04.2018;7,5;137
Bergen - Florida;SN50540;05.2018;14,7;62,2
Bergen - Florida;SN50540;06.2018;14,6;101,1
Bergen - Florida;SN50540;07.2018;17,3;50,7
Bergen - Florida;SN50540;08.2018;14,5;345,2
Bergen - Florida;SN50540;09.2018;12;520,3
Bergen - Florida;SN50540;10.2018;8,4;539,9
Bergen - Florida;SN50540;11.2018;6,7;74,7
Bergen - Florida;SN50540;12.2018;4,2;135,7
Bergen - Florida;SN50540;01.2019;2,6;190,9
Bergen - Florida;SN50540;02.2019;5,3;117,1
Bergen - Florida;SN50540;03.2019;4,6;249,5
Bergen - Florida;SN50540;04.2019;9,8;12,9
Bergen - Florida;SN50540;05.2019;9,4;89,9
Bergen - Florida;SN50540;06.2019;14,1;159,6
Bergen - Florida;SN50540;07.2019;16,2;151,5
Bergen - Florida;SN50540;08.2019;16,4;399,6
Bergen - Florida;SN50540;09.2019;11,6;259,5
Bergen - Florida;SN50540;10.2019;8;292,2
Bergen - Florida;SN50540;11.2019;3;58,5
Bergen - Florida;SN50540;12.2019;5;365,5
Bergen - Florida;SN50540;01.2020;5,5;466,4
Bergen - Florida;SN50540;02.2020;4;336,9
Bergen - Florida;SN50540;03.2020;4,7;256,6
Bergen - Florida;SN50540;04.2020;7,2;175,3
Bergen - Florida;SN50540;05.2020;9;114,8
Bergen - Florida;SN50540;06.2020;17,5;45,2
Bergen - Florida;SN50540;07.2020;13,6;225,6
Bergen - Florida;SN50540;08.2020;16,4;171,7
Bergen - Florida;SN50540;09.2020;12,3;382,8
Bergen - Florida;SN50540;10.2020;9,9;188,5
Bergen - Florida;SN50540;11.2020;7,9;455
Bergen - Florida;SN50540;12.2020;5,2;236
Bergen - Florida;SN50540;01.2021;-0,8;112,4
Bergen - Florida;SN50540;02.2021;0,6;119,9
Bergen - Florida;SN50540;03.2021;4,9;219,1
Bergen - Florida;SN50540;04.2021;5,6;87,9
Bergen - Florida;SN50540;05.2021;11;53,5
Bergen - Florida;SN50540;06.2021;15,1;109,1
Bergen - Florida;SN50540;07.2021;17,2;105,7
Bergen - Florida;SN50540;08.2021;15,5;66,7
Bergen - Florida;SN50540;09.2021;14;180
Bergen - Florida;SN50540;10.2021;9,8;641,4
Bergen - Florida;SN50540;11.2021;6;333,8
Bergen - Florida;SN50540;12.2021;2,6;131,4
Bergen - Florida;SN50540;01.2022;4,3;374,9
Bergen - Florida;SN50540;02.2022;3;122
Data er gyldig per 09.02.2022 (CC BY 4.0), Meteorologisk institutt (MET);;;;
