Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Nedbør (mnd)
Bergen - Florida;SN50540;07.1967;14,2;-
Bergen - Florida;SN50540;08.1967;14,1;-
Bergen - Florida;SN50540;09.1967;13,1;-
Bergen - Florida;SN50540;10.1967;8,4;-
Bergen - Florida;SN50540;11.1967;6,6;-
Bergen - Florida;SN50540;12.1967;2;-
Bergen - Florida;SN50540;01.1968;0,4;-
Bergen - Florida;SN50540;02.1968;0,3;-
Bergen - Florida;SN50540;03.1968;2,8;-
Bergen - Florida;SN50540;04.1968;6,6;-
Bergen - Florida;SN50540;05.1968;9,3;-
Bergen - Florida;SN50540;06.1968;13,9;-
Bergen - Florida;SN50540;07.1968;14,9;-
Bergen - Florida;SN50540;08.1968;14,5;-
Bergen - Florida;SN50540;09.1968;14;-
Bergen - Florida;SN50540;10.1968;8,2;-
Bergen - Florida;SN50540;11.1968;2,9;-
Bergen - Florida;SN50540;12.1968;2;-
Bergen - Florida;SN50540;01.1969;2,9;-
Bergen - Florida;SN50540;02.1969;-2;-
Bergen - Florida;SN50540;03.1969;0,7;-
Bergen - Florida;SN50540;04.1969;6,4;-
Bergen - Florida;SN50540;05.1969;10,8;-
Bergen - Florida;SN50540;06.1969;14,4;-
Bergen - Florida;SN50540;07.1969;13,8;-
Bergen - Florida;SN50540;08.1969;18,2;-
Bergen - Florida;SN50540;09.1969;11,3;-
Bergen - Florida;SN50540;10.1969;9,3;-
Bergen - Florida;SN50540;11.1969;2,1;-
Bergen - Florida;SN50540;12.1969;0,9;-
Bergen - Florida;SN50540;01.1970;0,2;-
Bergen - Florida;SN50540;02.1970;-1,1;-
Bergen - Florida;SN50540;03.1970;1,4;-
Bergen - Florida;SN50540;04.1970;3,9;-
Bergen - Florida;SN50540;05.1970;10,6;-
Bergen - Florida;SN50540;06.1970;15,5;-
Bergen - Florida;SN50540;07.1970;13;-
Bergen - Florida;SN50540;08.1970;15,4;-
Bergen - Florida;SN50540;09.1970;11,2;-
Bergen - Florida;SN50540;10.1970;8;-
Bergen - Florida;SN50540;11.1970;4,5;-
Bergen - Florida;SN50540;12.1970;2,5;-
Bergen - Florida;SN50540;01.1971;3;-
Bergen - Florida;SN50540;02.1971;3,2;-
Bergen - Florida;SN50540;03.1971;2;-
Bergen - Florida;SN50540;04.1971;6,2;-
Bergen - Florida;SN50540;05.1971;10,6;-
Bergen - Florida;SN50540;06.1971;12,5;-
Bergen - Florida;SN50540;07.1971;14;-
Bergen - Florida;SN50540;08.1971;14,2;-
Bergen - Florida;SN50540;09.1971;11,6;-
Bergen - Florida;SN50540;10.1971;8;-
Bergen - Florida;SN50540;11.1971;3;-
Bergen - Florida;SN50540;12.1971;5;-
Bergen - Florida;SN50540;01.1972;0,2;-
Bergen - Florida;SN50540;02.1972;2,1;-
Bergen - Florida;SN50540;03.1972;4,6;-
Bergen - Florida;SN50540;04.1972;6,1;-
Bergen - Florida;SN50540;05.1972;11,9;-
Bergen - Florida;SN50540;06.1972;12,1;-
Bergen - Florida;SN50540;07.1972;15,4;-
Bergen - Florida;SN50540;08.1972;13;-
Bergen - Florida;SN50540;09.1972;9,9;-
Bergen - Florida;SN50540;10.1972;8,6;-
Bergen - Florida;SN50540;11.1972;4,4;-
Bergen - Florida;SN50540;12.1972;5,7;-
Bergen - Florida;SN50540;01.1973;4,4;-
Bergen - Florida;SN50540;02.1973;2,1;-
Bergen - Florida;SN50540;03.1973;5,1;-
Bergen - Florida;SN50540;04.1973;4,2;-
Bergen - Florida;SN50540;05.1973;9,5;-
Bergen - Florida;SN50540;06.1973;12,3;-
Bergen - Florida;SN50540;07.1973;15,9;-
Bergen - Florida;SN50540;08.1973;12,9;-
Bergen - Florida;SN50540;09.1973;11,3;-
Bergen - Florida;SN50540;10.1973;6,1;-
Bergen - Florida;SN50540;11.1973;2,9;-
Bergen - Florida;SN50540;12.1973;2;-
Bergen - Florida;SN50540;01.1974;5,5;-
Bergen - Florida;SN50540;02.1974;4,4;-
Bergen - Florida;SN50540;03.1974;4,9;-
Bergen - Florida;SN50540;04.1974;7,8;-
Bergen - Florida;SN50540;05.1974;11,3;-
Bergen - Florida;SN50540;06.1974;13,9;-
Bergen - Florida;SN50540;07.1974;12,5;-
Bergen - Florida;SN50540;08.1974;14;-
Bergen - Florida;SN50540;09.1974;11,6;-
Bergen - Florida;SN50540;10.1974;7,5;-
Bergen - Florida;SN50540;11.1974;5,4;-
Bergen - Florida;SN50540;12.1974;4,3;-
Bergen - Florida;SN50540;01.1975;4,2;-
Bergen - Florida;SN50540;02.1975;3,1;-
Bergen - Florida;SN50540;03.1975;3,5;-
Bergen - Florida;SN50540;04.1975;5,1;-
Bergen - Florida;SN50540;05.1975;9,6;-
Bergen - Florida;SN50540;06.1975;12;-
Bergen - Florida;SN50540;07.1975;14,6;-
Bergen - Florida;SN50540;08.1975;16,9;-
Bergen - Florida;SN50540;09.1975;11,3;-
Bergen - Florida;SN50540;10.1975;8,6;-
Bergen - Florida;SN50540;11.1975;5,7;-
Bergen - Florida;SN50540;12.1975;3,9;-
Bergen - Florida;SN50540;01.1976;0,4;-
Bergen - Florida;SN50540;02.1976;2,2;-
Bergen - Florida;SN50540;03.1976;1,8;-
Bergen - Florida;SN50540;04.1976;5,2;-
Bergen - Florida;SN50540;05.1976;11,2;-
Bergen - Florida;SN50540;06.1976;13,3;-
Bergen - Florida;SN50540;07.1976;15,9;-
Bergen - Florida;SN50540;08.1976;14,8;-
