gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
897139263;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:3777?seid=1856699;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1954-12-01T00:00:00;1;12;1954;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:3777;14451;;1954-12-31T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.845Z;;GEODETIC_DATUM_ASSUMED_WGS84
897139162;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:323?seid=866670;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.779601;-171.740277;100000.0;;;;;;1951-03-14T00:00:00;14;3;1951;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:323;9388;;1951-03-14T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.961Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138889;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:322?seid=1303759;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.779601;-171.740277;100000.0;;;;;;1951-03-02T00:00:00;2;3;1951;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:322;9387;;1951-03-02T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.854Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138875;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2835?seid=1855757;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Savoonga, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.681996;-170.482323;8000.0;;;;;;1953-12-07T00:00:00;7;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2835;12910;;1953-12-07T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.806Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138873;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:3628?seid=1856550;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1954-12-12T00:00:00;12;12;1954;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:3628;14406;;1954-12-12T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.891Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138860;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2789?seid=1855711;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1953-12-08T00:00:00;8;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2789;12864;;1953-12-08T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.930Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138854;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2834?seid=1855756;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Savoonga, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.681996;-170.482323;8000.0;;;;;;1953-12-04T00:00:00;4;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2834;12909;;1953-12-04T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.855Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138852;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:3627?seid=1856549;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1954-12-12T00:00:00;12;12;1954;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:3627;14405;;1954-12-12T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.891Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138834;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2788?seid=1855710;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1953-12-06T00:00:00;6;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2788;12863;;1953-12-06T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:08.904Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138831;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2833?seid=1855755;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Savoonga, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.681996;-170.482323;8000.0;;;;;;1953-12-02T00:00:00;2;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2833;12908;;1953-12-02T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:08.864Z;;GEODETIC_DATUM_ASSUMED_WGS84
